Date,Close,Dividends
2021-10-31,40.38999938964844,
2021-11-30,36.59000015258789,
2021-12-31,28.899999618530273,
2022-01-31,24.15999984741211,
2022-02-28,26.3799991607666,
2022-03-31,28.559999465942383,
2022-04-30,23.84000015258789,
2022-05-31,19.6299991607666,
2022-06-30,11.609999656677246,
2022-07-31,14.829999923706055,
2022-08-31,12.359999656677246,
2022-09-30,11.989999771118164,
2022-10-31,12.569999694824219,
2022-11-30,10.699999809265137,
2022-12-31,10.430000305175781,
2023-01-31,14.630000114440918,
2023-02-28,14.449999809265137,0.149
2023-03-31,17.520000457763672,0.101
2023-04-30,17.40999984741211,0.465
2023-05-31,15.520000457763672,0.417
2023-06-30,16.979999542236328,0.428
2023-07-31,15.479999542236328,0.664
2023-08-31,13.4399995803833,0.385
2023-09-30,13.8100004196167,0.005
2023-10-31,17.59000015258789,0.074
2023-11-30,18.8700008392334,0.14
2023-12-31,20.489999771118164,0.147
2024-01-31,20.520000457763672,
2024-02-29,29.229999542236328,0.356
2024-03-31,32.29999923706055,0.726
2024-04-30,25.610000610351562,1.145
2024-05-31,27.280000686645508,1.681
2024-06-30,22.510000228881836,1.768
2024-07-31,22.690000534057617,1.503
2024-08-31,19.0,1.447
2024-09-30,19.190000534057617,1.209
2024-10-31,19.8799991607666,1.091
2024-11-30,26.139999389648438,0.994
2024-12-31,22.780000686645508,1.113
